"fund_id","fb_primarykey","FundKey","ManagerKey","AsOfDate","NAV","NAV_1","NAV_3","NAV_5","NAV_10","NAV_15","NAV_ME","NAV_QE","NAV_YE"
"3256-1","X'000116F253220880C0A86F99'","000116F253220880C0A86F99","E90C16F2532207AAC0A86F99","42551","9.7725","9.871","","","","","9.7805","9.7969","9.8213"
"6191-1","X'00036ED745D676AEC0A80134'","00036ED745D676AEC0A80134","FFED6ED745D6764AC0A80134","42551","10.029","13.6495","12.7265","11.0856","","","9.9079","9.8908","11.0021"
"7355-5","X'00080D9A3EA1B6B2C0A80132'","00080D9A3EA1B6B2C0A80132","DD8943943E3D605FC0A80135","42551","33.6566","32.7693","24.1646","20.5132","15.5052","","33.9897","33.9158","33.8245"
"1876-2","X'00104F4F47A33E2FC0A80133'","00104F4F47A33E2FC0A80133","E5A4EE86C67575424D27D96F","42551","5.0652","6.8176","5.521","7.2393","","","5.1635","5.5852","5.5839"
"574-11","X'001102EC47BF187BC0A80135'","001102EC47BF187BC0A80135","E3E447BC413600AAC0A80132","42551","15.748","16.7722","15.5581","13.5091","","","16.3219","16.5604","15.8266"
"4682-7","X'001153FF3A20D40BC0A801E0'","001153FF3A20D40BC0A801E0","94471B9339D9EDD7C0A80118","42551","2.8899","2.4249","1.5303","1.7171","2.9911","4.3928","2.952","2.6254","2.1338"
"1289-2","X'00132ED6534C05A6C0A86F99'","00132ED6534C05A6C0A86F99","9F4A70DA3D45FFD1C0A80119","42551","9.7811","9.8796","","","","","9.7891","9.8055","9.83"
"6349-1","X'0017604F55A40E8BC0A86FA6'","0017604F55A40E8BC0A86FA6","000A604F55A40AB6C0A86FA6","42551","10.6395","","","","","","11.3384","11.5219","11.7957"
"5192-2","X'001F13A43A8C1DAAC0A801E0'","001F13A43A8C1DAAC0A801E0","E2DC027E3A70B632C0A801E0","42551","23.1196","18.9496","18.161","16.2435","12.3241","10.5445","21.5745","22.1855","19.7468"
"5596-1","X'0021133742434CBBC0A80133'","0021133742434CBBC0A80133","8DAE23703B731887C0A801E1","42551","9.7001","9.7469","9.58","9.5526","9.9616","","9.7125","9.686","9.6898"
"5287-1","X'00242601427C595AC0A80133'","00242601427C595AC0A80133","FF572601427C584BC0A80133","42551","99.2665","149.5255","70.2131","21.6777","11.2433","","113.8517","103.1173","156.465"
"1352-7","X'0027680B44D8C565C0A80132'","0027680B44D8C565C0A80132","0B252B7A3DC04EF3C0A80135","42551","11.2042","13.5708","10.3326","9.1775","","","11.218","11.1752","12.3314"
"2390-14","X'002C35594F0B6D4AC0A80135'","002C35594F0B6D4AC0A80135","F6F2151D4E90941CC0A80134","42551","12.2573","14.6188","12.7059","","","","12.6052","12.4652","12.4453"
"7128-1","X'002D3CC239C922C8C0A801E0'","002D3CC239C922C8C0A801E0","17ED5FDC39C9213DC0A801E1","42551","24.792","23.6368","18.5315","13.8196","11.4278","10.1347","24.072","24.9873","25.702"
"7939-5","X'002D551B42A2F28BC0A80132'","002D551B42A2F28BC0A80132","746262FC3CCEAC88C0A801E0","42551","10.466","9.8076","8.9748","11.697","12.4011","","8.8633","8.8954","8.806"
"1236-10","X'002E73BA41A9F3D9C0A80133'","002E73BA41A9F3D9C0A80133","F7F21DCA3CD6C3D9C0A801E0","42551","22.5062","27.9007","17.7075","14.4338","8.8013","","22.9016","23.8141","23.2957"
"1706-2","X'0032120A4601BC9CC0A80135'","0032120A4601BC9CC0A80135","0D9E54D345EDEE4EC0A80135","42551","10.5563","11.5878","10.2503","9.4757","","","10.7072","10.7879","10.4777"
"423-1","X'003215CF39F0CE18C0A80118'","003215CF39F0CE18C0A80118","4F63422F39F0CB2EC0A80118","42551","21.4162","21.1453","18.2138","15.1254","11.2866","15.4219","21.5228","21.4721","20.2891"
"6861-1","X'00343F9241F2B853C0A80134'","00343F9241F2B853C0A80134","001E3F9241F2B70BC0A80134","42551","44.0302","45.6762","23.0607","22.2063","11.0884","","46.153","45.9229","49.0245"
"839-28","X'00395FDF5315D1B9C0A86F99'","00395FDF5315D1B9C0A86F99","3920460E420125B0C0A80133","42551","6.4434","9.5185","","","","","7.7202","6.6288","6.6438"
"2606-13","X'003B366C51F7FC81C0A80134'","003B366C51F7FC81C0A80134","3460420950F99909C0A80135","42551","11.442","12.0678","","","","","11.2694","11.3374","11.1923"
"5875-8","X'00432F1846A2517AC0A80132'","00432F1846A2517AC0A80132","143B50CA42B1842DC0A80132","42551","3.4841","4.5562","5.0595","6.053","","","3.5414","3.3704","3.4693"
"3979-2","X'004531A455D49246C0A86FA6'","004531A455D49246C0A86FA6","45764C1C542712D8C0A86F98","42551","9.9763","","","","","","9.9354","10.0335","10.0209"
"6275-1","X'00494AAE43F39EF5C0A80134'","00494AAE43F39EF5C0A80134","FA654AAE43F39EB6C0A80134","42551","12.3929","16.061","11.5252","9.1914","10.4879","","12.0791","12.5319","13.0953"
"573-1","X'004B3D623A21C810C0A80118'","004B3D623A21C810C0A80118","2C701A203A21C541C0A801E0","42551","4.4324","5.5064","4.2206","5.0708","5.0068","5.6021","4.4793","4.6523","4.6724"
"2598-9","X'00552501512BB676C0A80132'","00552501512BB676C0A80132","2C4E1EF550F4C0B9C0A80132","42551","17.6563","16.8987","10.867","","","","17.3548","17.0741","16.5238"
"5505-7","X'005B21CF40C5A8FFC0A80133'","005B21CF40C5A8FFC0A80133","14F912F040B1D2D5C0A80133","42551","8.7907","6.9761","9.3133","19.5443","15.0159","","7.9752","7.1575","5.7215"
"1533-9","X'005C494344798EFBC0A80132'","005C494344798EFBC0A80132","E4771344444CB283C0A80132","42551","10.2272","11.8287","9.3529","8.3509","9.8753","","10.1917","10.415","10.2217"
"953-13","X'005F5C2842CAA4DFC0A80133'","005F5C2842CAA4DFC0A80133","166928E23B5F3A9BC0A80119","42551","9.8815","14.4949","20.116","18.7029","69.6378","","10.6725","9.8692","13.283"
"1104-4","X'006257AF43273A07C0A80132'","006257AF43273A07C0A80132","E960047C42C0032FC0A80133","42551","12.6058","17.5181","11.8148","11.3306","10.1196","","13.6203","13.7819","15.1931"
"1100-28","X'0063510C48BEB40FC0A80132'","0063510C48BEB40FC0A80132","22E749F03BD5F93FC0A80118","42551","15.1144","13.8905","11.4827","9.5902","","","14.7832","14.8376","14.6011"
