fund_id,fb_primarykey,FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
3256-1,X'000116F253220880C0A86F99',000116F253220880C0A86F99,E90C16F2532207AAC0A86F99,9/30/2016,9.7479,9.8461,,,,,9.7559,9.7725,9.8213
6191-1,X'00036ED745D676AEC0A80134',00036ED745D676AEC0A80134,FFED6ED745D6764AC0A80134,9/30/2016,10.8776,11.1734,12.3419,8.8088,,,10.8348,10.029,11.0021
7355-5,X'00080D9A3EA1B6B2C0A80132',00080D9A3EA1B6B2C0A80132,DD8943943E3D605FC0A80135,9/30/2016,35.0379,31.654,24.9982,17.8654,16.2494,,34.9001,33.6566,33.8245
1876-2,X'00104F4F47A33E2FC0A80133',00104F4F47A33E2FC0A80133,E5A4EE86C67575424D27D96F,9/30/2016,5.8988,5.2698,6.4047,5.5229,,,5.6189,5.0981,5.6445
574-11,X'001102EC47BF187BC0A80135',001102EC47BF187BC0A80135,E3E447BC413600AAC0A80132,9/30/2016,17.0975,15.2049,16.2983,10.5918,,,16.9006,15.748,15.8266
4682-7,X'001153FF3A20D40BC0A801E0',001153FF3A20D40BC0A801E0,94471B9339D9EDD7C0A80118,9/30/2016,3.7891,1.5899,1.9427,1.2544,2.8139,2.3124,3.823,2.8899,2.1338
1289-2,X'00132ED6534C05A6C0A86F99',00132ED6534C05A6C0A86F99,9F4A70DA3D45FFD1C0A80119,9/30/2016,9.7564,9.8548,,,,,9.7645,9.7811,9.83
6349-1,X'0017604F55A40E8BC0A86FA6',0017604F55A40E8BC0A86FA6,000A604F55A40AB6C0A86FA6,9/30/2016,11.908,9.5029,,,,,11.7688,10.6395,11.7957
5192-2,X'001F13A43A8C1DAAC0A801E0',001F13A43A8C1DAAC0A801E0,E2DC027E3A70B632C0A801E0,9/30/2016,22.8675,20.3676,17.7501,16.7874,12.9701,10.4265,22.7673,23.5041,20.0887
5596-1,X'0021133742434CBBC0A80133',0021133742434CBBC0A80133,8DAE23703B731887C0A801E1,9/30/2016,9.738,9.6059,9.6168,9.3661,9.9925,,9.7567,9.7001,9.6898
