FundKey,ManagerKey,AsOfDate,NAV,NAV_1,NAV_3,NAV_5,NAV_10,NAV_15,NAV_ME,NAV_QE,NAV_YE
E3785C40574C735CC0A86FA6,E3695C40574C722EC0A86FA6,07/31/2015,,,,,,,,,
715B18E0576D0B3FC0A86FA6,713A18E0576D0A3EC0A86FA6,07/31/2015,,,,,,,,,
C95E05F35290EE29C0A80132,43A205ED52815685C0A80135,07/31/2015,10.5387,9.9517,,,,,9.5882,9.5882,8.9138
02B4697954D16CAAC0A86FA6,43A205ED52815685C0A80135,07/31/2015,9.9514,,,,,,9.9598,9.9598,
9DC712973A19032FC0A80119,C620368B39789299C0A801E1,07/31/2015,13.347,12.0557,7.5081,7.0398,5.5393,,13.5984,13.5984,13.6319
4C5714673A2116C1C0A80119,C620368B39789299C0A801E1,07/31/2015,9.5199,10.2405,8.514,7.4395,5.8692,,9.7592,9.7592,9.7473
4C5A14673A211920C0A80119,C620368B39789299C0A801E1,07/31/2015,4.9834,5.043,3.8216,4.2231,6.5095,,4.8965,4.8965,5.3192
4C5D14673A211A49C0A80119,C620368B39789299C0A801E1,07/31/2015,15.5999,14.2476,9.8011,5.5825,5.0707,,15.4297,15.4297,15.7957
93FB30DA3A2EA084C0A801E1,C620368B39789299C0A801E1,07/31/2015,12.5818,11.0055,6.5393,6.3105,11.6323,,12.4078,12.4078,12.1012
0F8B25FE3B740FADC0A80118,C620368B39789299C0A801E1,07/31/2015,24.7763,21.5604,13.6676,11.0536,9.6986,,25.5522,25.5522,23.1801
2E4718A4426309F6C0A80133,F83B18A442630954C0A80133,07/31/2015,12.19,12.7788,10.6334,10.3845,10.3326,,12.0772,12.0772,12.5581
F7405996496BB110C0A80134,F83B18A442630954C0A80133,07/31/2015,39.3983,38.0039,25.0351,19.6167,,,41.013,41.013,40.6107
672218A442633A99C0A80133,81CC18A442633A05C0A80133,07/31/2015,13.3632,12.9314,11.4438,11.4007,10.4238,,13.5657,13.5657,13.0124
452B08E7434564EAC0A80134,81CC18A442633A05C0A80133,07/31/2015,15.345,14.9131,12.1743,11.3983,,,15.2182,15.2182,14.8152
F13F49F144FAAA53C0A80133,81CC18A442633A05C0A80133,07/31/2015,8.5327,11.1004,9.8852,12.7672,,,9.1399,9.1399,9.9149
463001764B49A629C0A80132,81CC18A442633A05C0A80133,07/31/2015,8.6547,8.8822,8.9967,9.6848,,,8.6923,8.6923,8.7644
9E6C727F4263FA1EC0A80133,B3CD31424263F376C0A80133,07/31/2015,42.4679,52.117,31.0173,23.3742,9.9715,,47.6017,47.6017,53.9301
7D2268CA45CCC3E5C0A80132,B3CD31424263F376C0A80133,07/31/2015,17.6538,15.9805,12.0941,8.8396,,,17.8534,17.8534,17.2622
58BC2CEA3D3D9937C0A801E2,DCE94A633B7ACC6DC0A801E0,07/31/2015,-0.2606,0.9264,1.89,3.2962,16.0991,,-0.2544,-0.2544,0.34
5D062CEA3D3D9977C0A801E2,DCE94A633B7ACC6DC0A801E0,07/31/2015,-0.3092,0.9523,1.9715,3.4601,17.5922,,-0.3025,-0.3025,0.3282
5D082CEA3D3D9998C0A801E2,DCE94A633B7ACC6DC0A801E0,07/31/2015,-0.1403,1.015,1.9413,3.2992,15.9295,,-0.1344,-0.1344,0.4427
5D0A2CEA3D3D99B6C0A801E2,DCE94A633B7ACC6DC0A801E0,07/31/2015,-0.2489,0.9364,1.9005,3.3067,15.9492,,-0.2427,-0.2427,0.3512
5D0C2CEA3D3D99D7C0A801E2,DCE94A633B7ACC6DC0A801E0,07/31/2015,-0.2298,0.9807,1.9779,3.4282,15.9076,,-0.2235,-0.2235,0.3854
5D0E2CEA3D3D99F7C0A801E2,DCE94A633B7ACC6DC0A801E0,07/31/2015,-0.2596,0.9264,1.8906,3.2971,15.9296,,-0.2534,-0.2534,0.3408
5D102CEA3D3D9A17C0A801E2,DCE94A633B7ACC6DC0A801E0,07/31/2015,-0.1412,1.014,1.9404,3.2983,15.9491,,-0.1354,-0.1354,0.4418
5D132CEA3D3D9A3EC0A801E2,DCE94A633B7ACC6DC0A801E0,07/31/2015,-0.2454,0.9315,1.8882,3.2839,15.9291,,-0.2393,-0.2393,0.3504
5D152CEA3D3D9A5FC0A801E2,DCE94A633B7ACC6DC0A801E0,07/31/2015,-0.2138,0.9553,1.9026,3.286,15.8983,,-0.2078,-0.2078,0.3776
5DAD2CEA3D3D9A7FC0A801E2,DCE94A633B7ACC6DC0A801E0,07/31/2015,-0.1198,1.0182,1.9293,3.2655,15.5771,,-0.1141,-0.1141,0.4542
3BD339CB44DB57EEC0A80133,DCE94A633B7ACC6DC0A801E0,07/31/2015,59.0245,66.9971,61.5524,80.7501,,,54.0266,54.0266,70.2921
57A039CB44DB5928C0A80133,DCE94A633B7ACC6DC0A801E0,07/31/2015,0.0078,0.0936,0.3305,0.7816,,,0.0202,0.0202,0.0863
B1B951DA4264F505C0A80134,B1A351DA4264F4BAC0A80134,07/31/2015,21.1178,21.6293,13.8929,12.3606,10.2166,,21.197,21.197,22.427
04FF56A03B7D68A5C0A801E1,04EF56A03B7D67E2C0A801E1,07/31/2015,6.5088,6.1017,5.4027,5.9632,7.701,,6.4155,6.4155,5.9659
76145A313DA447D7C0A80135,04EF56A03B7D67E2C0A801E1,07/31/2015,8.4479,8.7535,8.5683,9.751,21.6363,,8.5342,8.5342,7.8723
F33809904D46E179C0A80134,04EF56A03B7D67E2C0A801E1,07/31/2015,17.4053,14.3149,10.2062,,,,17.149,17.149,15.8693
0AF130FE4F417D22C0A80134,04EF56A03B7D67E2C0A801E1,07/31/2015,12.8097,12.9441,10.2929,,,,12.6843,12.6843,13.1665
D3E12CA950C73321C0A80134,04EF56A03B7D67E2C0A801E1,07/31/2015,14.53,12.0162,,,,,14.2911,14.2911,13.878
4D7D01113D6853F8C0A801E0,04EF56A03B7D67E2C0A801E1,07/31/2015,19.0437,16.1954,12.4747,11.0863,13.8073,,18.7273,18.7273,19.3355
54635B693D8F878FC0A80132,04EF56A03B7D67E2C0A801E1,07/31/2015,22.6031,21.8169,18.8903,18.9937,22.2336,,22.8345,22.8345,22.3616
5E615B693D8F8CD8C0A80132,04EF56A03B7D67E2C0A801E1,07/31/2015,21.1177,23.1933,17.7186,16.8258,17.9486,,21.9429,21.9429,23.5515
8BAF5C524926EB6BC0A80134,8BED06B942681CCEC0A80133,07/31/2015,19.3054,20.231,15.1008,13.4861,,,19.3101,19.3101,18.9626
309501014CD5FAE3C0A80133,8BED06B942681CCEC0A80133,07/31/2015,18.3367,16.3754,12.0256,,,,17.5487,17.5487,17.3279
