fund_id,fund_key,NAV,NAV_1,NAV_3,NAV_5,NAV_10
8016-2,EC25034C494EBDCBC0A80132,36.0605,34.6928,23.4301,20.6561,0
42-1,5150028F39207646C0A801E0,4884.344,5649.6063,2680.032,2124.2931,286.4936
4680-1,6D5B033E41FC9A99C0A80133,4501.1723,4844.4334,3451.9408,4178.5732,674.4808
6849-1,DD8540FE433AE96DC0A80132,4284.7448,4328.7717,4413.7917,4503.1847,4733.3207
2233-3,DA6B69E54D606217C0A80135,4690.4582,3139.2466,1348.1462,10.6502,0
1096-11,B11B2ABB480F6779C0A80133,5812.7323,2486.6893,13.5184,10.9939,0
2017-1,9564096C491D7E2EC0A80135,1903.7317,2480.2828,2583.2824,20.1737,0
255-6,AFAC6EE83C20C0F5C0A80118,1023.7727,1432.6672,1355.742,1252.5754,992.4696
4699-1,2A69643B3A37A546C0A80118,975.049,1122.1729,547.1777,438.526,80.5154
417-5,B0B73BD53B672AAFC0A801E0,-1139.7814,1074.3145,-2829.8615,-2304.5203,809.9356
2447-1,99320D744F29E500C0A80132,1506.8338,1051.5126,503.2621,0,0
5306-3,61046C0C46493A6DC0A80133,1082.7037,1041.2428,367.9217,222.7558,0
4695-2,2A9E221A39D0F21DC0A80118,745.2927,857.8576,418.0089,334.9153,61.0942
4702-1,96444A2A3A08125FC0A80119,682.3286,785.2713,382.937,306.909,56.3976
4701-3,E7FC510F3A083A48C0A80118,682.2447,785.1892,382.8585,306.834,56.3306
4698-1,4E0011D839E270BEC0A80118,672.2341,773.7048,377.1619,302.2381,55.3528
4704-1,0D0039EB3AD58B31C0A80118,671.2297,772.4543,376.8022,302.0286,55.6606
4714-5,7ECC543E3A132678C0A801E0,660.1557,759.4209,371.2096,297.787,55.938
4705-2,026A1E0F39E1D5C0C0A80119,658.5164,757.8182,369.6774,296.3223,54.6293
4306-1,A2775DE34182A00CC0A80132,642.348,745.9206,493.8067,467.5466,823.6005
4703-1,46D83F8039DA28F1C0A80118,630.8838,726.0548,354.0869,283.7953,52.1873
4694-1,2FF86D7039D8B094C0A80119,626.2148,720.9125,350.9685,281.1034,50.8468
4708-3,464501983CDD65D9C0A801E0,614.8437,707.5203,345.2457,276.7716,51.1697
4696-1,960038E239D926F0C0A80119,602.6222,693.6386,337.9906,270.8037,49.4003
4700-1,54B4667339D8B6F2C0A80118,577.8055,664.9906,324.251,259.8646,47.7095
4831-2,4669223A3A80355FC0A80119,417.4747,623.3883,385.0191,209.9636,134.0642
4712-1,8C7312533A3A0A46C0A80119,509.5215,586.4486,286.0281,229.4077,43.0788
6892-1,50077345433CD092C0A80133,575.7319,581.2812,591.6634,602.3897,633.7751
2017-8,3D7054EA4A0B3C3FC0A80135,345.2231,549.7331,587.1297,15.3274,0
4306-2,177C2E7141891F98C0A80134,448.95,515.9542,331.4518,329.9881,564.9295
6954-1,E35874154326FCBDC0A80132,494.1787,498.2371,519.5195,528.5338,544.7832
1153-13,431D56A04988C680C0A80135,343.7854,449.6151,385.8377,20.5965,0
4707-1,B0506DAE39F9382EC0A80118,387.5803,446.2889,217.2167,174.1058,32.5226
4721-1,ACE82B0139D8E0E2C0A80118,367.9808,423.4714,207.3089,166.8608,31.6134
4718-1,127138E239D8CDF6C0A80119,367.6491,422.7765,207.065,166.2377,31.7967
4734-1,785662194016C331C0A80134,358.0517,410.3714,202.6297,162.6726,35.4009
1153-9,6CE8104E3CFC1107C0A801E0,384.1239,395.7086,426.9473,23.1004,18.6246
4686-4,D52A044D419CA5FCC0A80133,642.1417,370.6714,167.7771,219.6787,25.8701
5458-1,C0823E0248E53203C0A80134,359.5528,365.92,356.6791,298.0569,0
4726-2,CFE8050939EFA6DFC0A801E1,317.2361,364.622,179.5451,143.9099,28.7342
2017-5,E50209A14997DBBDC0A80133,305.5731,363.5261,383.363,6.4884,0
4739-2,3DB25C213A242C0FC0A80119,315.4441,359.9061,177.0805,142.3491,29.9197
4719-1,B7FE74B539F7DCB3C0A801E0,309.3726,355.5652,174.1412,139.5013,26.6218
4765-5,3C8F57A03D121FC5C0A801E1,303.6154,346.9334,172.3081,139.7748,31.9463
6982-1,F11009C23BB79682C0A80118,269.5892,346.1555,61.7373,-60.3707,114.5307
4742-1,69673F8C39D9E9E3C0A80118,303.1167,344.5348,169.614,136.3439,29.3015
4738-1,117447AC3A131318C0A801E1,299.7126,344.0342,170.3461,137.8721,28.5096
4760-1,841543783A0B2379C0A801E0,299.8074,343.7823,170.9685,138.0724,30.4171
4723-1,C2E917923A64CD36C0A801E1,295.464,339.5018,166.7305,134.2179,26.5591
4741-3,1FD30BD73A100189C0A801E1,292.5819,335.8221,166.0015,135.3689,29.5913
4770-1,6FA33CE33A08058EC0A80119,297.1415,334.604,176.9112,132.8146,30.9946
410-4,74F046EE39EDE943C0A80119,260.4474,322.8576,308.771,15.1041,12.4747
255-11,A15D021D425EA0D5C0A80133,100.9367,310.3075,317.8065,454.2756,19.3824
2017-3,C57B3F174923F974C0A80134,217.7669,306.5562,349.9619,14.4986,0
4808-1,970916D23A217573C0A801E1,255.3506,293.2725,150.5348,123.1702,31.1314
4711-1,F19F447239C537EDC0A801E0,253.803,292.0052,142.6312,114.3874,21.3454
4706-2,21D62B6739C4EC4CC0A801E1,253.45,291.6602,142.3013,114.0721,21.0636
4812-6,7B515BF23A955C3DC0A80118,269.9237,291.6069,106.6965,73.2285,54.1443
417-1,162C157439EE8FA8C0A80119,239.73,285.46,161.3114,210.8148,171.9755
5282-12,79B058344583D7D2C0A80135,162.6359,282.8243,65.3676,31.3924,0
699-1,0F15036B3A6DB107C0A80119,246.8033,282.8087,138.7763,112.0539,26.1477
4749-1,BCB846E139EDFE36C0A80119,236.3021,271.3688,134.1471,108.0846,23.8373
4690-2,9CBA378B3A11C638C0A801E0,294.0495,269.685,162.1177,124.1145,12.7597
4790-3,CECB22BD3A257716C0A801E1,231.8793,263.6267,132.0906,105.9769,25.2885
4778-1,035838BF39DAC6FEC0A80119,228.153,260.513,130.3273,105.4665,24.8472
4757-1,1EE60C5639D78BC5C0A80118,224.1114,257.166,127.476,102.8084,22.4747
4777-1,D42228F53A01B9FAC0A801E1,222.3826,256.0426,125.7479,100.8769,22.5512
4727-1,13463B5739D73662C0A80118,221.0885,254.1015,124.0973,99.391,20.104
1603-1,9E2B029344F4A404C0A80132,248.7567,251.6547,251.7971,219.9114,0
4837-2,D66F71293DC9A3FBC0A80133,213.3977,241.7692,119.5106,97.5671,27.3997
2017-2,CAE84689491FE26DC0A80134,181.635,238.303,264.8223,5.0737,0
4780-1,F27408B240166B34C0A80134,196.806,227.7029,116.3172,93.2718,23.7711
