"UPPER(SUBSTRING(fb_primarykey,3,24))","fund_id"
"E3785C40574C735CC0A86FA6","0-1"
"715B18E0576D0B3FC0A86FA6","0-2"
"2FA2194057DA7A0EC0A86FA6","0-3"
"C95E05F35290EE29C0A80132","1-1"
"02B4697954D16CAAC0A86FA6","1-3"
"9DC712973A19032FC0A80119","100-1"
"4C5714673A2116C1C0A80119","100-2"
"4C5A14673A211920C0A80119","100-3"
"4C5D14673A211A49C0A80119","100-4"
"93FB30DA3A2EA084C0A801E1","100-5"
"0F8B25FE3B740FADC0A80118","100-6"
"2E4718A4426309F6C0A80133","1000-1"
"F7405996496BB110C0A80134","1000-3"
"672218A442633A99C0A80133","1001-1"
"452B08E7434564EAC0A80134","1001-2"
"F13F49F144FAAA53C0A80133","1001-3"
"463001764B49A629C0A80132","1001-6"
"9E6C727F4263FA1EC0A80133","1002-1"
"7D2268CA45CCC3E5C0A80132","1002-2"
"58BC2CEA3D3D9937C0A801E2","1003-65"
"5D062CEA3D3D9977C0A801E2","1003-66"
"5D082CEA3D3D9998C0A801E2","1003-67"
"5D0A2CEA3D3D99B6C0A801E2","1003-68"
"5D0C2CEA3D3D99D7C0A801E2","1003-69"
"5D0E2CEA3D3D99F7C0A801E2","1003-70"
"5D102CEA3D3D9A17C0A801E2","1003-71"
"5D132CEA3D3D9A3EC0A801E2","1003-72"
"5D152CEA3D3D9A5FC0A801E2","1003-73"
"5DAD2CEA3D3D9A7FC0A801E2","1003-74"
"3BD339CB44DB57EEC0A80133","1003-75"
"57A039CB44DB5928C0A80133","1003-77"
"B1B951DA4264F505C0A80134","1004-1"
"04FF56A03B7D68A5C0A801E1","1006-1"
"76145A313DA447D7C0A80135","1006-10"
"F33809904D46E179C0A80134","1006-11"
"0AF130FE4F417D22C0A80134","1006-12"
"D3E12CA950C73321C0A80134","1006-13"
"4D7D01113D6853F8C0A801E0","1006-6"
"54635B693D8F878FC0A80132","1006-8"
"5E615B693D8F8CD8C0A80132","1006-9"
"8BAF5C524926EB6BC0A80134","1007-4"
"309501014CD5FAE3C0A80133","1007-5"
"AE9D597B502AACC7C0A80134","1007-8"
"A95E1B9E42695784C0A80133","1008-1"
"90813788428A9A21C0A80133","1008-2"
"C30831A0561E62E0C0A86FA6","1009-8"
"5EBB55EE3978C9E2C0A801E0","101-1"
